country,year,total_population,population_density
ESCWA: Arab least developed countries,2019,93768211,23.583
ESCWA: Gulf Cooperation Council countries,2019,57694359,22.423
ESCWA: Maghreb countries,2019,97996994,20.662
ESCWA: Mashreq countries,2019,178706825,103.994
ESCWA: member countries,2019,367845981,36.872
East African Community (EAC),2019,190068644,82.066
Eastern Africa,2019,433904943,65.078
Eastern Asia,2019,167261112,144.684
Eastern Europe,2019,293444921,16.255
Eastern European Group,2019,340313688,18.217
Eastern and South-Eastern Asia,2019,2334622966,146.821
Economic Community of Central African States (ECCAS),2019,198465942,30.313
Economic Community of West African States (ECOWAS),2019,386908388,76.875
Economic Cooperation Organization (ECO),2019,504210404,64.383
Ecuador,2019,17373657,69.954
Egypt,2019,100388076,100.847
El Salvador,2019,645355,311.465
Equatorial Guinea,2019,1355982,48.342
Eritrea,2019,3497117,34.625
Estonia,2019,1325649,31.273
Eswatini,2019,1148133,66.752
Ethiopia,2019,112078727,112.079
Eurasian Economic Community (Eurasec),2019,222594686,11.109
Europe,2019,747182815,33.756
Europe,2019,747182815,33.756
Europe (48),2019,747182815,33.756
Europe and Northern America,2019,1113783759,27.308
European Community (EC: 12),2019,384069996,164.880
European Free Trade Agreement (EFTA),2019,14347277,28.400
European Union (EU: 15),2019,408593654,130.707
European Union (EU: 28),2019,512516929,120.883
Falkland Islands (Malvinas),2019,3372,0.277
Faroe Islands,2019,48677,34.869
Fiji,2019,889955,48.711
Finland,2019,5532159,18.204
France,2019,65129731,118.946
France (and dependencies),2019,67978398,103.357
French Guiana,2019,290823,3.538
French Polynesia,2019,279285,76.307
Gabon,2019,2172578,8.432
Gambia,2019,2347696,231.986
Georgia,2019,3996762,57.516
Germany,2019,83517046,239.606
Ghana,2019,30417858,133.681
Gibraltar,2019,33706,3370.600
Greater Arab Free Trade Area (GAFTA),2019,406373337,35.875
Greece,2019,10473452,81.253
Greenland,2019,5666,0.138
Grenada,2019,112002,329.418
Group of 77 (G77),2019,6060094962,81.595
Group of Eight (G8),2019,915935544,25.153
Group of Seven (G7),2019,770063284,38.431
Group of Twenty (G20) - member states,2019,4622853206,61.199
Guadeloupe,2019,400048,245.730
Guam,2019,167295,309.806
Guatemala,2019,17581476,164.068
Guinea,2019,12771246,51.975
Guinea-Bissau,2019,1920917,68.311
Gulf Cooperation Council (GCC),2019,57694359,22.423
Guyana,2019,782775,3.977
Haiti,2019,11263079,408.675
High-income countries,2019,1258043484,33.206
Vatican City,2019,815,1852.273
Honduras,2019,9746115,87.104
Hungary,2019,968468,106.978
Iceland,2019,339037,3.382
India,2019,1366417756,459.580
Indonesia,2019,270625567,149.387
Iran,2019,82913893,50.913
Iraq,2019,39309789,90.509
Ireland,2019,4882498,70.874
Isle of Man,2019,84589,148.402
Israel,2019,8519373,393.686
Italy,2019,60550092,205.855
Jamaica,2019,2948277,272.232
Japan,2019,126860299,347.987
Jordan,2019,10101697,113.783
Kazakhstan,2019,18551428,6.872
Kenya,2019,52573967,92.374
Kiribati,2019,117608,145.195
Kosovo,2019,1810366,159.000
Kuwait,2019,4207077,236.087
Kyrgyzstan,2019,6415851,33.451
LLDC: Africa,2019,332262488,39.827
LLDC: Asia,2019,164025746,24.641
LLDC: Europe,2019,6126716,105.506
LLDC: Latin America,2019,18557741,12.534
Land-locked Countries,2019,583340277,33.976
Land-locked Countries (Others),2019,62367586,98.771
Land-locked Developing Countries (LLDC),2019,520972691,31.502
Laos,2019,7169456,31.064
Latin America and the Caribbean,2019,648120956,32.182
Latin America and the Caribbean,2019,648120956,32.182
Latin American Integration Association (ALADI),2019,568696545,29.715
Latin American and Caribbean Group (GRULAC),2019,643474175,32.125
Latvia,2019,190674,30.655
"League of Arab States (LAS, informal name: Arab League)",2019,428166389,32.909
Least developed countries,2019,1033388868,51.315
Least developed: Africa,2019,682410622,38.991
Least developed: Asia,2019,338616201,131.863
Least developed: Latin America and the Caribbean,2019,11263079,408.675
Least developed: Oceania,2019,1098966,26.791
Lebanon,2019,6855709,670.157
Lesotho,2019,2125267,70.002
Less developed regions,2019,6442837885,79.544
"Less developed regions, excluding China",2019,4977203709,69.541
"Less developed regions, excluding least developed countries",2019,5409449017,88.885
Less developed: Africa,2019,1308064176,44.119
Less developed: Asia,2019,4474510967,145.899
Less developed: Latin America and the Caribbean,2019,648120956,32.182
Less developed: Oceania,2019,12141786,22.449
Liberia,2019,4937374,51.260
Libya,2019,6777453,3.852
Liechtenstein,2019,3802,237.625
Lithuania,2019,2759631,44.032
Low-income countries,2019,755849741,50.919
Lower-middle-income countries,2019,3057708884,142.498
Luxembourg,2019,61573,237.734
Madagascar,2019,26969306,46.355
Malawi,2019,18628749,197.590
Malaysia,2019,31949789,97.245
Maldives,2019,530957,1769.857
Mali,2019,19658023,16.111
Malta,2019,440377,1376.178
Marshall Islands,2019,58791,326.617
Martinique,2019,375557,354.299
Mauritania,2019,4525698,4.391
Mauritius,2019,126967,625.453
Mayotte,2019,266153,709.741
Melanesia,2019,10918534,20.617
Mexico,2019,127575529,65.627
Micronesia,2019,543483,171.446
Micronesia (Fed. States of),2019,113811,162.587
Middle Africa,2019,174308427,26.830
Middle-income countries,2019,5696667314,73.986
Monaco,2019,38967,26152.349
Mongolia,2019,3225166,2.076
Montenegro,2019,627988,46.691
Montserrat,2019,4991,49.910
More developed regions,2019,127063032,25.880
More developed: Asia,2019,126860299,347.987
More developed: Europe,2019,747182815,33.756
More developed: Northern America,2019,366600944,19.655
More developed: Oceania,2019,29986262,3.774
Morocco,2019,36471766,81.720
Mozambique,2019,30366043,38.615
Myanmar,2019,54045422,82.728
Namibia,2019,2494524,3.030
Nauru,2019,10764,538.200
Nepal,2019,28608715,199.572
Netherlands,2019,17097123,507.032
Netherlands (and dependencies),2019,17435228,502.369
New Caledonia,2019,282757,15.468
New EU member states (joined since 2004),2019,103923275,93.310
New Zealand,2019,4783062,18.165
New Zealand (and dependencies),2019,4803553,18.208
Nicaragua,2019,6545503,54.392
Niger,2019,23310719,18.403
Nigeria,2019,200963603,220.652
Niue,2019,1614,6.208
No income group available,2019,2907666,7.907
Non-Self-Governing Territories,2019,1731701,5.712
North American Free Trade Agreement (NAFTA),2019,494051484,24.476
North Atlantic Treaty Organization (NATO),2019,940604181,41.107
North Macedonia,2019,2083458,82.611
Northern Africa,2019,241780765,31.119
Northern Africa and Western Asia,2019,517105558,41.123
Northern America,2019,366600944,19.655
Northern America,2019,366600944,19.655
Northern Europe,2019,105768532,62.128
Northern Mariana Islands,2019,57213,124.376
Norway,2019,5378859,14.726
Oceania,2019,42128048,4.964
Oceania (excluding Australia and New Zealand),2019,12141786,22.449
Oman,2019,4974992,16.074
Organisation for Economic Co-operation and Development (OECD),2019,1307716642,37.940
Organization for Security and Co-operation in Europe (OSCE),2019,1291387201,27.586
Organization of American States (OAS),2019,100995013,26.389
Organization of Petroleum Exporting countries (OPEC),2019,507887773,41.057
Organization of the Islamic Conference (OIC),2019,1872842323,60.068
Pakistan,2019,216565317,280.933
Palau,2019,18001,39.133
Panama,2019,424644,57.122
Papua New Guinea,2019,8776119,19.379
Paraguay,2019,7044639,17.731
Peru,2019,32510462,25.399
Philippines,2019,108116622,362.601
Poland,2019,37887771,123.723
Polynesia,2019,679769,84.026
Portugal,2019,10226178,111.652
Puerto Rico,2019,2933404,330.711
Qatar,2019,2832071,243.934
South Korea,2019,51225321,526.847
Moldova,2019,4043258,123.082
Romania,2019,19364558,84.132
Russia,2019,14587226,8.907
Rwanda,2019,12626938,511.834
Réunion,2019,888932,355.573
"SIDS Atlantic, and Indian Ocean, Mediterranean and South China Sea (AIMS)",2019,15990784,37.205
SIDS Caribbean,2019,43309023,191.904
SIDS Pacific,2019,1212902,22.432
Saint Barthélemy,2019,9853,447.864
Saint Helena,2019,6061,15.541
Saint Kitts and Nevis,2019,52834,203.208
Saint Lucia,2019,182795,299.664
Saint Martin (French part),2019,38002,717.019
Saint Pierre and Miquelon,2019,5821,25.309
Saint Vincent and the Grenadines,2019,110593,283.572
Samoa,2019,197093,69.644
San Marino,2019,33864,564.400
Sao Tome and Principe,2019,215048,224.008
Saudi Arabia,2019,34268529,15.941
Senegal,2019,16296362,84.643
Serbia,2019,8772228,100.300
Seychelles,2019,97741,212.480
Shanghai Cooperation Organization (SCO),2019,3229909042,97.977
Sierra Leone,2019,7813207,108.246
Singapore,2019,5804343,8291.919
Sint Maarten (Dutch part),2019,42389,1246.735
Slovakia,2019,5457012,113.480
Slovenia,2019,2078654,103.210
Small Island Developing States (SIDS),2019,71428827,59.714
Solomon Islands,2019,669821,23.931
Somalia,2019,15442906,24.616
South Africa,2019,58558267,48.272
South America,2019,427199425,24.466
South Asian Association for Regional Cooperation (SAARC),2019,1835297503,384.631
South Sudan,2019,11062114,18.106
South-Eastern Asia,2019,662011846,152.513
Southern Africa,2019,66629894,25.137
Southern African Development Community (SADC),2019,353940129,36.688
Southern Asia,2019,1918211396,299.715
Southern Common Market (MERCOSUR),2019,306365495,22.473
Southern Europe,2019,15244695,117.727
Spain,2019,46736782,93.698
Sri Lanka,2019,21323734,340.037
West Bank and Gaza,2019,4981422,827.479
Sub-Saharan Africa,2019,1066283411,48.735
Sudan,2019,42813237,24.256
Suriname,2019,581363,3.727
Sweden,2019,10036391,24.459
Switzerland,2019,8591361,217.415
Syria,2019,17070132,92.959
Tajikistan,2019,9321023,66.598
Thailand,2019,69625581,136.283
Timor-Leste,2019,129312,86.962
Togo,2019,8082359,148.600
